Name,County,Location,Dedicated Date,Latitude,Longitude,Marker Type,Missing?,Categories,Marker Text
Philadelphia & Columbia Railroad,Philadelphia,"Edgley Ave. off Belmont Ave. (W Fairmount Park), Philadelphia","Thursday, May 17, 2001",39.9956,-75.21644,Roadside,No,"Business & Industry, Government & Politics 19th Century, Railroads, Transportation","One of America's earliest railroads, authorized by the state legislature in 1828 and completed in 1834. Stretching 82 miles west to the Susquehanna, it was powered first by horses, later by steam. Part of a state-owned transportation system, including the Pennsylvania canal, built in response to intense competition from adjacent states. Acquired by the Pennsylvania Railroad Co. in 1857. Stone blocks placed for the original track have remained visible here."
Wissahickon Boys Club,Philadelphia,"328 W Coulter St., Germantown, Philadelphia",2001,40.02698,-75.17713,Roadside,No,African American,"Founded by Germantown Quakers in 1885. This Club joined the national Boys Club Federation in 1906 - the first member to serve an African American population. Under president John T. Emlen & executive director William T. Coleman, it earned a reputation for outstanding service to youth. Club alumni include Bill Cosby, Herb Adderley. Renamed the Wissahickon Boys & Girls Club in 1981, it moved here from Coulter St. & Pulaski Ave. in 1985."
Dr. Mary Davis Ridgway (1873-1927),Philadelphia,"Wissahickon Ave., between Lincoln Dr. and Walnut Ln., Philadelphia","Saturday, September 08, 2001",40.03149,-75.18869,Roadside,No,"Civil Rights, Science & Medicine, Professions & Vocations, Women","A leader in the women's rights movement and a homeopathic physician and surgeon. She was founder of Providence General Hospital (chartered 1913), the principal officers of which were women. From 1914 to 1917 it served the community from nearby Abraham Rittenhouse Home. Political pressure then forced the hospital to move from this site, and it closed shortly after Dr. Ridgway's death."
Owen Wister (1860-1938),Philadelphia,"5203 Germantown Ave., Philadelphia","Sunday, October 07, 2001",40.03101,-75.16672,City,No,"Motion Pictures & Television, Writers","Author of ""The Virginian"" (1902), which became the prototype for the Western novel. This work defined the cowboy as folk hero & coined the phrase, ""When you call me that, smile!"" Born here, Wister was a lifelong resident of the Philadelphia area."
American Pharmaceutical Association,Philadelphia,"NW corner, Market & N 7th Sts., Philadelphia","Monday, September 24, 2001",39.95115,-75.15162,City,No,"Science & Medicine, Professions & Vocations","Professional society created, Oct. 6-8, 1852, to assure quality & safe distribution of drugs. Pharmacists from eight states met in a building nearby for the founding meeting; among them was Philadelphian William Proctor, Jr., ""Father of American Pharmacy."""
America's First Lager,Philadelphia,"905 N American St., Philadelphia",2001,39.96458,-75.14191,City,No,Business & Industry,"In 1840, John Wagner brought lager yeast from his native Bavaria and brewed the nation's first lager beer. Later, other German immigrants began brewing lagers, which soon became popular & promoted growth of America's brewing industry."
Central Library,Philadelphia,"1901 Vine Street, Philadelphia","Sunday, June 02, 2002",39.95938,-75.17105,City,No,"Buildings & Architecture, Education","Opened on June 2, 1927, the Central Library was designed in the Beaux Arts style by Horace Trumbauer & Julian Francis Abele. It was built to serve as the main building of the Free Library of Philadelphia, chartered in 1891."
Benjamin Rush (1745-1813),Philadelphia,"Keswick & Rayland Roads, Philadelphia","Thursday, June 20, 2002",40.07738,-74.98563,City,No,"American Revolution, Education, Government & Politics, Government & Politics 18th Century, Science & Medicine, Professions & Vocations","Physician, humanitarian, educator, patriot leader. He signed the Declaration of Independence, opposed slavery, and supported public health & social reforms. Known as ""Father of American Psychiatry."" His house of birth stood here until 1969."
Tomas Garrigue Masaryk (1850-1937),Philadelphia,"Independence Mall West, S 6th St. between Chestnut and Samson, Philadelphia","Tuesday, July 23, 2002",39.94865,-75.15073,City,No,"Ethnic & Immigration, Government & Politics, Government & Politics 20th Century","1st President of Czechoslovakia (1918-1935). On October 26, 1918, he led a gathering of 25 delegates from 12 Central & East European nations at Independence Hall, and delivered the Declaration of Common Aims, a Declaration of Independence for these nations."
"Children's Hospital of Philadelphia, The",Philadelphia,"S 34th St. & Civic Center Blvd., Philadelphia","Tuesday, September 24, 2002",39.94883,-75.19298,City,No,"Buildings & Architecture, Invention, Science & Medicine, Professions & Vocations","The nation's first children's hospital, 1855. A pioneer in pediatric care, preventive medicine, and research, the hospital developed lifesaving vaccines, invented newborn surgical techniques, and advanced care for children with cancer."
Frank Gasparro (1909-2001),Philadelphia,"727 Carpenter St., Philadelphia","Friday, November 01, 2002",39.93703,-75.15581,Roadside,No,"Artists, Government & Politics, Professions & Vocations","Designer of the reverse side of the Lincoln Penny and, with Gilroy Roberts, the Kennedy half-dollar. Born & educated in classical art in Philadelphia, Gasparro was first employed as a junior engraver by the U.S. Mint in 1942. By 1965 he was appointed by President Lyndon Johnson as the 10th Chief Engraver. Designed numerous coins and medals, including, the Eisenhower & Susan B. Anthony dollar."
Edward Drinker Cope,Philadelphia,"2100-02 Pine St., Philadelphia","Wednesday, November 06, 2002",39.94713,-75.17596,City,No,"Education, Science & Medicine, Professions & Vocations, Writers","Internationally renowned vertebrate paleontologist and zoologist, Cope lived and worked here in his later years. He wrote many scientific papers describing hundreds of fossils & living animals and is famous for his long-standing feud with O.C. Marsh of Yale."
Israel Goldstein (1896-1986),Philadelphia,"At S Phila. High School, 2101 S Broad St., Philadelphia","Wednesday, November 20, 2002",39.92364,-75.16969,Roadside,No,"Education, Ethnic & Immigration, Government & Politics 20th Century, Religion","Born & educated in this city, this leader of the Zionist movement, author, and conservative rabbi presided over many organizations, including the Jewish Nation Fund (1933-43), Zionist Organization of America (1943-61), & American Jewish Congress (1951-58), and was a founder of Brandeis College. He moved to Israel in 1961."
Meriwether Lewis (1774-1809),Philadelphia,"1900 Ben Franklin Pky., Philadelphia","Tuesday, August 12, 2003",39.95732,-75.17108,City,No,"Education, Environment, Exploration, Science & Medicine","With William Clark he led the transcontinental Lewis & Clark Expedition, 1803-1806. Lewis prepared for the journey & later deposited its significant specimens, journals, and other artifacts here in Philadelphia."
Gloria Dei Church (Old Swedes'),Philadelphia,"916 Swanson St. at N facade of bldg., near Christian St. & Christopher Columbus Blvd.","Friday, December 17, 1954",39.93706,-75.14208,City,No,"Buildings & Architecture, Early Settlement, Ethnic & Immigration, Religion","Oldest church in Philadelphia. Founded, 1677, by Swedish settlers. This edifice of Swedish architectural design was erected, 1698-1703. The earlier place of worship was a blockhouse."
"Grand Battery, The",Philadelphia,"S Columbus Blvd., at to US Coast Guard Station, Philadelphia","Sunday, December 07, 1997",39.93262,-75.14346,Roadside,No,"Forts, French & Indian War, Military","Known also as the Association Battery, this was Pennsylvania's largest early fortification. Originally built in 1748, shortly after formation of a volunteer military force called the Association, it mounted 27 guns; within a few years it held some 50 guns. Later the first Philadelphia Navy Yard was here, 1800-1875. A short distance to the north, the smaller Society Hill Battery was built in April 1748; it mounted 13 guns."
"Grand United Order of Odd Fellows, The",Philadelphia,"S 12th & Spruce Sts., Philadelphia",1992,39.946522,-75.161056,City,Yes,"African American, Science & Medicine","Founded in 1844, this was the first Black lodge in Pennsylvania and the third in the United States. A benevolent fraternity, it provided funds for sick and disabled members. In 1908 the national headquarters were erected here."
Elizabeth Taylor Greenfield (1809-1876),Philadelphia,"1013 Rodman St., Philadelphia",1992,39.94322,-75.15911,City,No,"African American, Music & Theater, Performers, Women","Greenfield, who lived here, was one of the 19th century's leading singers, known as the ""Black Swan"" because of her great vocal range. Her performances were hailed in the U.S. and in England where she sang before the Queen."
Frances E.W. Harper (1825-1911),Philadelphia,"1006 Bainbridge St., Philadelphia","Wednesday, March 25, 1992",39.94198,-75.15944,City,No,"African American, Civil Rights, Education, Underground Railroad, Women, Writers","An author, lecturer, and social activist, Harper lived here and devoted her life to championing the rights of slaves and free Blacks. She advocated education as a way of advancement for Black Americans."
Billie Holiday (1915-1959),Philadelphia,"1409 Lombard St., Philadelphia",1993,39.94485,-75.16576,City,No,"African American, Music & Theater, Performers, Women","Known as ""Lady Day,"" she was called the greatest jazz vocalist of her time. Starting in 1933, she recorded with Benny Goodman, Teddy Wilson, and others. Notable songs include ""Lover Man,"" ""Strange Fruit."" In this city, she often lived here."
Thomas Holme (1624-1695),Philadelphia,"Pennypack Park, 3000 Holme Ave., Philadelphia","Saturday, July 29, 1995",40.05671,-75.02155,Roadside,No,"Early Settlement, Government & Politics, Government & Politics 17th Century, William Penn","Appointed by William Penn in 1682 as Surveyor General of Pennsylvania. A member of its first Assembly, 1682, and its Provincial Council, 1683-86. Under Penn's direction, Holme laid out the original portion of Philadelphia. He drafted the first map of this city, 1683, and a map of the settled parts of Pennsylvania, 1687. Here on his estate he was buried - as were members of the Crispin family, relatives of Penn."
House of Industry,Philadelphia,"714 Catharine St., Philadelphia","Thursday, June 27, 1996",39.93904,-75.15509,City,No,"Education, Ethnic & Immigration, Labor","Founded 1846, this was Pennsylvania's first such institution. Irish Catholics, other immigrants, & native-born were its constituency. Services to the needy included training programs for persons seeking work, designed to encourage their ultimate independence."
Institute for Colored Youth,Philadelphia,"915 Bainbridge Sts., Philadelphia",1991,39.94183,-75.1577,City,No,"African American, Agriculture, Education, Labor","Begun as a farm school. In 1852 it became one of the first schools to train Blacks for skilled trades and teaching. It gained recognition here under Fanny J. Coppin, principal, 1869-1902. Relocated, it later became Cheyney University."
Ricketts' Circus,Philadelphia,"S 12th & Market Sts., at Loew's Hotel, Philadelphia","Thursday, July 15, 1982",39.95158,-75.15994,City,No,"George Washington, Performers","America's first circus building was opened here at 12th and Market Streets, April 3, 1793. On that day the English equestrian John Bill Ricketts gave America's first complete circus performance. President Washington attended his show later that season."
Rittenhouse Town,Philadelphia,"Lincoln Dr. at Rittenhouse St. just off Wissahickon Ave., Fairmount Park, Philadelphia","Monday, April 08, 1991",40.02917,-75.18995,Roadside,No,"Buildings & Architecture, Business & Industry, Cities & Towns, Early Settlement, Mansions & Manors, Science & Medicine, Mills, Religion","William Rittenhouse, first Mennonite minister in America, erected here in 1690 the colonies' first paper mill. Successive generations of Rittenhouses built additional mills, establishing this region as the center of American papermaking. By the 1850s this village had over 40 buildings, and seven early buildings survive from this once prosperous industrial community. Scientist David Rittenhouse was born here in 1732."
St. Augustine's Roman Catholic Church,Philadelphia,"235 N 4th St. at New St., Philadelphia","Saturday, October 28, 1995",39.95547,-75.14617,City,No,"Buildings & Architecture, Government & Politics, Government & Politics 19th Century, Religion","First U.S. foundation, Augustinian Order, 1796. In 1844 the original church here was burned during Nativist riots. This and other violence led to a state law requiring police forces, 1845, and to consolidation of the city and county, 1854."
St. Mary Magdalen De Pazzi Parish,Philadelphia,"714 Montrose St., Philadelphia","Monday, May 02, 1994",39.93757,-75.15546,City,No,"Buildings & Architecture, Ethnic & Immigration, Religion","Founded in 1852 as the first Italian national parish in the U.S. by St. John N. Neumann, Bishop of Philadelphia. New churches were dedicated here, 1854 & 1891. The Delaware Valley's largest Italian community became centered in this neighborhood."
St. Peter Claver Catholic Church,Philadelphia,"SW corner, S 12th & Lombard Sts., Philadelphia",1991,39.9442,-75.16177,City,No,"African American, Buildings & Architecture, Religion","Dedicated in 1892 and named for a 16th century saint who fought the slave trade, this was the first Roman Catholic church for Blacks in the city. It has served as a Black community cultural center since the 1920s."
St. Thomas' African Episcopal Church,Philadelphia,"SW corner, S 5th St. & St. James Ct., Philadelphia","Sunday, September 30, 1984",39.94654,-75.14983,City,No,"African American, Buildings & Architecture, Religion","Organized in 1792 as an outgrowth of the Free African Society, formed 1787. The original church edifice stood here. Under the ministry of the Rev. Absalom Jones (1746-1818), a former slave, this became the nation's first Black Episcopal church."
Haym Salomon (1740-1785),Philadelphia,"At walkway to synagogue, 45 N 5th St., Philadelphia","Sunday, September 07, 1997",39.95116,-75.14719,City,No,"American Revolution, Ethnic & Immigration, Military, Professions & Vocations, Religion","Financier of the Revolution. Came to America ca. 1772. Imprisoned by British, 1776 and 1778. Lived in Philadelphia, 1778-85; active in its Jewish community. A broker, he lent money heavily to support the war. Never repaid, he himself died in debt."
"Salvation Army, The",Philadelphia,"N 4th & Oxford Sts., Philadelphia","Friday, June 19, 1998",39.97519,-75.14194,City,No,"Religion, Women","The first U.S. corps was opened here on Oxford St. by 17-year-old Eliza Shirley in 1879. She came from England, assigned by the founder, William Booth. This organization would become the largest private charity in the U.S., giving spiritual and social help to the needy."
Shot Tower,Philadelphia,"Carpenter & Front Sts., Philadelphia","Saturday, April 19, 1997",39.94066,-75.18694,City,No,"Buildings & Architecture, Business & Industry, Military, Religion, War of 1812","First in the nation. Built 1808 by Thomas Sparks & John Bishop to make hunting shot, it symbolized a new U.S. industrial independence. Bishop, a Quaker, sold his share when ammunition was made here for the War of 1812. The Sparks family stayed in control until 1903."
Robert Smith,Philadelphia,"606 S 2nd St., Philadelphia","Friday, January 14, 1983",39.94088,-75.14561,City,No,"Buildings & Architecture, Ethnic & Immigration, Professions & Vocations","Here stood the home of colonial Philadelphia's leading architect and builder. Born Jan. 14, 1722 at Dalkeith, Scotland, he died Feb. 11, 1777. Among his buildings are the Christ Church steeple, St. Peter's Church, the Walnut Street Prison, and Carpenters' Hall."
Stephen Smith (1795-1873),Philadelphia,"1050 Belmont Ave., Philadelphia","Wednesday, June 19, 1991",39.97267,-75.21215,City,No,"African American, Business & Industry, Coal, Professions & Vocations, Underground Railroad","An abolitionist, Smith bought his freedom and was one of America's wealthiest Blacks with his coal, lumber, and real estate ventures. He was the major benefactor of the Stephen Smith Home for the Aged, located here."
Shibe Park/Connie Mack Stadium,Philadelphia,"N 21st St. & Lehigh Ave., Philadelphia","Saturday, November 01, 1997",39.99539,-75.16467,City,No,"African American, Baseball, Sports & Recreation","Early Major League baseball park opened here, 1909. Renamed, 1953. Home to Athletics, 1909-1954; Phillies, 1938-1970. Site of three Negro League World Series; five A's World Series victories. Among first to host night games. Razed, 1976."
Standard Theatre,Philadelphia,"South St. between 11th & 12th, Philadelphia",1992,39.94301,-75.16098,City,No,"African American, Buildings & Architecture, Entrepreneurs, Music & Theater, Performers","Owned by Black entrepreneur John T. Gibson, this theater featured noted Black American entertainers of the 1920s including Duke Ellington and Ethel Waters. The theater attracted multi-racial audiences until it closed in 1931."
William Still (1821-1902),Philadelphia,"244 S 12th St., Philadelphia","Wednesday, July 03, 1991",39.94699,-75.16101,City,No,"African American, Coal, Underground Railroad","While living here, he was an Underground Railroad agent who helped slaves escape and kept records so relatives could find them later. A wealthy coal merchant, Still also helped found the first Black YMCA."
Henry O. Tanner (1859-1937),Philadelphia,"2908 W Diamond St., Philadelphia","Saturday, January 19, 1991",39.98792,-75.18123,City,No,"African American, Artists, Religion","While living here, Tanner studied at the Pennsylvania Academy of the Fine Arts. His earlier works portrayed the ordinary lives of African-Americans. After moving to Paris, Tanner painted religious subjects and won international acclaim."
Tindley Temple,Philadelphia,"750-762 S Broad St. (PA 611), Philadelphia",1992,39.94155,-75.16621,City,No,"African American, Buildings & Architecture, Religion","Founded 1902 as East Calvary Methodist Church. Renamed for its founder, Rev. Charles A. Tindley. Born a slave in Maryland, he did much to assist later migrants from the South. After his death, Tindley Temple continued to sponsor needed community programs."
"Union Local 274, American Federation of Musicians",Philadelphia,"912 S. Broad St., Philadelphia",1993,39.93957,-75.16655,City,No,"African American, Labor, Music & Theater, Performers","Chartered 1935 after African-American musicians were denied admission to Local 77. John Coltrane, Dizzy Gillespie were members. At its 1971 demise, it was last predominantly Black AFM local in U.S. Union office was here."
Universal Negro Improvement Association,Philadelphia,"1609-11 Cecil B. Moore Ave., Philadelphia","Saturday, April 11, 1992",39.97923,-75.16146,City,No,African American,"Founded in 1917 by Marcus Garvey, this movement inspired African-American pride. It encouraged self-reliance, spread news of interest to Blacks, and urged them to establish nationhood in Africa."
U.S.S. United States,Philadelphia,"555 S Columbus Blvd. (S of Independence Seaport Museum, and near Delaware Ave. and Chart House restaurant), Philadelphia","Sunday, October 16, 1983",39.94145,-75.14098,City,No,"Military, War of 1812","First vessel completed for new U.S. Navy. Frigate was launched near here May 10, 1797. Flagship of Capt. John Barry; builder was Joshua Humphreys. In 1812, under Capt. Stephen Decatur, Jr., occurred its celebrated capture of H.M.S. Macedonian. Vessel scrapped at Norfolk, 1866."
Joe Venuti (1903-1978),Philadelphia,"NE corner S 8th & Fitzwater Sts., Philadelphia","Friday, April 18, 1997",39.94068,-75.15573,City,No,"Music & Theater, Performers","""Father of Jazz Violin."" Classically trained as a child, Venuti went to grade school here. He introduced new string techniques; worked with his close friend, guitarist Eddie Lang, 1921-33. Led own band, 1935-43; was on screen & radio. Major comeback in 1968."
Walnut Street Prison,Philadelphia,"SE corner, S 6th St. near Walnut St., Philadelphia",1964,39.94746,-75.1514,City,No,"Government & Politics, Government & Politics 18th Century","One of the nation's first urban penal institutions, it confined felons, prisoners of war, Tories, and debtors from 1775 to 1838. Extending from Walnut St. to Locust St., it was the site of numerous riots. The prison was replaced by Eastern State Penitentiary."
Walnut Street Theatre,Philadelphia,"S 9th & Walnut Sts., Philadelphia","Wednesday, September 25, 1996",39.94811,-75.15559,City,No,"Buildings & Architecture, Music & Theater, Performers",Founded 1809. The oldest theater in America and the oldest playhouse in continuous use in the English-speaking world. A National Historic Landmark. Many of the greatest actors of America and Europe have appeared on stage here.
John Wanamaker (1838-1922),Philadelphia,"S 13th & Market Sts., Philadelphia","Saturday, July 11, 1998",39.95123,-75.16621,Roadside,No,"Business & Industry, Education, Entrepreneurs, Government & Politics 19th Century, Invention, Professions & Vocations, Religion","Philadelphia merchant, famed for the department stores bearing his name. In 1861 he opened his first store. He built his ""new kind of store"" here in 1876 and implemented new concepts including the one-price system & money-back guarantee. Active in public life, he built schools, churches, and missions in this and other nations. As U.S. Postmaster General, 1889-93, he fostered rural free delivery and introduced the commemorative stamp."
Washington Avenue Immigration Station,Philadelphia,"S Columbus Blvd. at Washington Ave., adjacent to US Coast Guard Station, Philadelphia","Wednesday, September 14, 1994",39.93317,-75.14328,City,No,Ethnic & Immigration,"Since the 1870s, the station was an entry point and processing center for immigrants, primarily from Eastern and Southern Europe. From here, newcomers moved into the city or other parts of the state. It was demolished in 1915."
Laura Wheeler Waring (1887-1948),Philadelphia,"756 N 43rd St., Philadelphia",1992,39.96644,-75.20966,City,No,"African American, Artists, Education, Women","A Black portraitist who lived here, Waring studied art in this city and in France. She headed the Art Department, Cheyney State College, and her works are part of the National Portrait Gallery and other major collections."
William Whipper (1804?-1876),Philadelphia,"919 Lombard St., Philadelphia","Sunday, June 28, 1992",39.94366,-75.15736,City,No,"African American, Business & Industry, Underground Railroad, Writers","A founder, American Moral Reform Society, he edited its journal, 1838-39. Active in the Underground Railroad, he aided hundreds of slaves passing through Columbia, Pa., 1847-60. Conducted lumber business in Columbia and this city. Later lived here."
Jacob C. White Jr. (1837-1902),Philadelphia,"1032 Lombard St., Philadelphia",1991,39.94397,-75.15944,City,No,"African American, Baseball, Education, Science & Medicine, Sports & Recreation, Underground Railroad","A Black educator who lived here, White was the principal of the Robert Vaux School for forty years. He was a founder of the city's first Black baseball club, the Pythians, and the first president of the Frederick Douglass Memorial Hospital."
Wissahickon Inn,Philadelphia,"Springfield Ave. in front of inn, Chestnut Hill Academy, Philadelphia","Tuesday, June 14, 1988",40.06208,-75.20723,City,No,"Buildings & Architecture, Business & Industry, Education, Inns & Taverns","Opened May 30, 1884 by the industrialist Henry H. Houston as a 250-room summer resort hotel. The architects were G.W. and W.D. Hewitt. Since 1898 the Inn has served Chestnut Hill Academy (founded 1850) which acquired ownership, 1940."
Anne Brancato Wood (1903-1972),Philadelphia,"SW corner, Broad & Chestnut Sts., Philadelphia","Friday, June 17, 1994",39.95165,-75.16461,City,No,"Ethnic & Immigration, Government & Politics, Government & Politics 20th Century, Women","A child of Italian immigrants, Brancato entered Democratic city politics in 1928. One of few women in the state assembly (1932-41), she sponsored pioneering social reform legislation. Her business offices were located here."
"Woodlands, The",Philadelphia,"4000 Woodland Ave., Philadelphia","Saturday, December 28, 1996",39.94907,-75.20354,Roadside,No,"Buildings & Architecture, Environment, Mansions & Manors","Here, William Hamilton (1745-1813) created one of the finest landscape gardens of its day and introduced many exotic plants. His mansion and stable, built 1787-92, are early examples of the neoclassical Adamesque-Federal style. In 1840 the estate became one of the first large rural cemeteries in America. The writer S. Weir Mitchell, artist Thomas Eakins, nurse-reformer Alice Fisher, and architect Wilson Eyre are buried here."
Jefferson House,Philadelphia,"7th St. near Market St., Philadelphia (Missing)","Friday, September 10, 1954",39.950936,-75.152,City,Yes,"Government & Politics, Government & Politics 18th Century, Houses & Homesteads","On the second floor of a three-story brick house that stood here, Thomas Jefferson prepared the draft of the Declaration of Independence in June, 1776."
Mother's Day,Philadelphia,"Traffic island, Market & Juniper Sts. (E side of City Hall), Philadelphia","Monday, June 01, 1998",39.95215,-75.16254,City,No,Women,"Founded by Anna Jarvis of Philadelphia. First officially observed in 1908, it honored motherhood & family life at a time of rising feminist activism. An early supporter was John Wanamaker, whose store stood opposite. Mother's Day was given federal recognition, 1914."
Vincent Persichetti (1915-1987),Philadelphia,"Curtis Institute of Music, 1724 Locust St., Philadelphia","Friday, May 09, 1997",39.94066,-75.18694,City,Yes,"Education, Music & Theater","Philadelphia-born, he was one of this city's noted composers. He wrote nine symphonies & many other instrumental & choral works. A 1939 Curtis Institute graduate, he taught at the Philadelphia Conservatory, 1939-62, & Juilliard School, 1947-87."
Violet Oakley (1874-1961),Philadelphia,"615 St. George's Rd., off McCallum St., Philadelphia","Tuesday, October 20, 1998",40.05321,-75.20386,City,No,"Artists, Glass, Government & Politics, Women","Artist famed for her murals in Pennsylvania's State Capitol, reflecting Penn's ideals of justice & peace. Also noted for her work in stained glass; book & magazine illustrations. One of three women artists who moved in 1906 to ""Cogslea,"" she lived & worked here until 1961."
Meta V.W. Fuller (1877-1968),Philadelphia,"254 S 12th St., Philadelphia",1992,39.94697,-75.16101,City,No,"African American, Artists, Women","One of the leading Black female sculptors in America. She lived here, studied at the Pennsylvania Academy of the Fine Arts, later with Auguste Rodin in Paris. Her sculpture depicted human suffering."
Paul Robeson (1898-1976),Philadelphia,"4951 Walnut St. (at 50th), Philadelphia","Monday, April 08, 1991",39.95651,-75.22143,City,No,"African American, Music & Theater, Performers","A Rutgers athlete and Columbia law graduate, Robeson won renown as a singer and actor. He was a noted interpreter of Negro spirituals. His career suffered because of his political activism, and he lived his last years here in retirement."
Rev. Isaac Leeser (1806-1868),Philadelphia,"Market St. between 54th & 55th, Philadelphia","Monday, September 28, 1998",39.96082,-75.23076,City,No,"Ethnic & Immigration, Publishing & Journalism, Religion, Writers","The eminent Jewish leader is buried here. Minister, Congregation Mikveh Israel, 1829-1850. Founder of the influential journal, The Occident, 1840; its publisher until 1868. A teacher and scholar, he translated the Hebrew Bible into English, 1853."
Church of the Advocate,Philadelphia,"N 18th & Diamond Sts., Philadelphia","Thursday, July 29, 1999",39.98565,-75.16312,City,No,"African American, Buildings & Architecture, Government & Politics 20th Century, Religion, Women","Here in the 1974 the first eleven women Episcopal priests were ordained. This noted Gothic Revival church, built 1887-97, served a growing African American community after 1930. Host to major Black Power events of the 1960s and '70s. National Historic Landmark."
American Friends Service Committee,Philadelphia,"1501 Cherry St., at Friends Ctr., Philadelphia","Saturday, November 06, 1999",39.95559,-75.16477,City,No,Religion,"Founded in Philadelphia in 1917, the AFSC has given practical expression to the faith of the Religious Society of Friends (Quakers). Its worldwide humanitarian work has reflected a commitment to nonviolence & justice. Co-recipient, Nobel Peace Prize, 1947."
George Gordon Meade (1815-1872),Philadelphia,"1836 Delancey St., Philadelphia","Saturday, November 06, 1999",39.94688,-75.17293,City,No,"Civil War, Military","Soldier, civil engineer. Major General, U.S. Army. Commander, victorious Army of the Potomac at Battle of Gettysburg, 1863. Philadelphia was his family's home; he died at No. 1836 here, in a house given to him for his service to the nation."
"Gay Rights Demonstrations July 4, 1965 - 1969",Philadelphia,NW corner of S 6th & Chestnut Sts.,"Friday, July 01, 2005",39.94939,-75.15071,City,No,"Civil Rights, Government & Politics 20th Century",Annual public demonstrations for gay and lesbian equality were held at Independence Hall. These peaceful protests and New Yorkês Stonewall riots in 1969 & Pride Parade in 1970 transformed a small national campaign into a civil rights movement.
